DEBUG 2024-12-26 10:11:46,505 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\asyncio\staggered.py first seen with mtime 1733248213.0
DEBUG 2024-12-26 10:11:46,505 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\utils\dates.py first seen with mtime 1733426951.250491
DEBUG 2024-12-26 10:11:46,505 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\core\handlers\exception.py first seen with mtime 1733426951.1784897
DEBUG 2024-12-26 10:11:46,505 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\core\mail\utils.py first seen with mtime 1733426951.1784897
DEBUG 2024-12-26 10:11:46,505 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\email\mime\text.py first seen with mtime 1733248213.0
DEBUG 2024-12-26 10:11:46,505 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\logging\handlers.py first seen with mtime 1733248213.0
DEBUG 2024-12-26 10:11:46,507 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\urllib3\exceptions.py first seen with mtime 1734929535.781306
DEBUG 2024-12-26 10:11:46,507 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\db\models\fields\json.py first seen with mtime 1733426951.2104902
DEBUG 2024-12-26 10:11:46,507 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\requests\structures.py first seen with mtime 1734929537.4843862
DEBUG 2024-12-26 10:11:46,507 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\__future__.py first seen with mtime 1733248213.0
DEBUG 2024-12-26 10:11:46,507 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\gettext.py first seen with mtime 1733248213.0
DEBUG 2024-12-26 10:11:46,507 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\db\backends\sqlite3\client.py first seen with mtime 1733426951.1984901
DEBUG 2024-12-26 10:11:46,508 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\rest_framework\utils\representation.py first seen with mtime 1735095408.189516
DEBUG 2024-12-26 10:11:46,508 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\django\contrib\messages\apps.py first seen with mtime 1733426951.0024867
DEBUG 2024-12-26 10:11:46,509 autoreload File E:\anaconda3-2024-3-28\envs\data_visualization_course_design\Lib\site-packages\asgiref\local.py first seen with mtime 1733215702.7727041
